"Bowling","Innings","Balls","Wickets","Runs","Average","Economy","StrikeRate","Pareto","colors"
"Adil Rashid",9,208,16,226,14.125,6.51923076923077,13,"Adil Rashid",2
"Shakib Al Hasan",6,126,9,128,14.2222222222222,6.09523809523809,14,"Shakib Al Hasan",2
"Mitchell Starc",10,225,20,297,14.85,7.92,11.25,"Mitchell Starc",2
"Lasith Malinga",13,300,18,270,15,5.4,16.6666666666667,"Lasith Malinga",2
"Haris Rauf",13,263,21,335,15.952380952381,7.6425855513308,12.5238095238095,"Haris Rauf",2
"Jackson Coleman",10,152,11,182,16.5454545454545,7.18421052631579,13.8181818181818,NA,1
"Naved-ul-Hasan",8,191,15,255,17,8.01047120418848,12.7333333333333,NA,1
"Jake Reed",10,186,16,277,17.3125,8.93548387096774,11.625,NA,1
"Yasir Arafat",16,369,27,469,17.3703703703704,7.6260162601626,13.6666666666667,NA,1
"Rashid Khan",50,1166,72,1257,17.4583333333333,6.46826758147513,16.1944444444444,NA,1
"Liam Plunkett",8,154,12,211,17.5833333333333,8.22077922077922,12.8333333333333,NA,1
"Marlon Samuels",6,132,8,145,18.125,6.59090909090909,16.5,NA,1
"Tanveer Sangha",15,285,21,384,18.2857142857143,8.08421052631579,13.5714285714286,NA,1
"Muttiah Muralitharan",16,366,19,348,18.3157894736842,5.70491803278689,19.2631578947368,NA,1
"Thisara Perera",10,176,14,267,19.0714285714286,9.10227272727273,12.5714285714286,NA,1
"Daniel Sams",45,888,63,1216,19.3015873015873,8.21621621621622,14.0952380952381,NA,1
"Chris Morris",15,319,22,426,19.3636363636364,8.01253918495298,14.5,NA,1
"Tom Curran",27,594,42,824,19.6190476190476,8.32323232323232,14.1428571428571,NA,1
"Nathan Lyon",32,694,41,807,19.6829268292683,6.97694524495677,16.9268292682927,NA,1
"Andrew Tye",68,1462,93,1859,19.989247311828,7.62927496580027,15.7204301075269,NA,1
"David Hussey",15,192,12,240,20,7.5,16,NA,1
"Peter Siddle",51,1030,60,1214,20.2333333333333,7.07184466019418,17.1666666666667,NA,1
"Tim Bresnan",14,302,21,427,20.3333333333333,8.48344370860927,14.3809523809524,NA,1
"Josh Hazlewood",19,426,26,536,20.6153846153846,7.54929577464789,16.3846153846154,NA,1
"Marnus Labuschagne",12,144,11,227,20.6363636363636,9.45833333333333,13.0909090909091,NA,1
"Carlos Brathwaite",23,442,28,578,20.6428571428571,7.84615384615385,15.7857142857143,NA,1
"Shahid Afridi",7,167,10,208,20.8,7.47305389221557,16.7,NA,1
"Marcus Stoinis",38,534,36,755,20.9722222222222,8.48314606741573,14.8333333333333,NA,1
"Sean Abbott",80,1570,106,2231,21.0471698113208,8.52611464968153,14.811320754717,NA,1
"Jason Behrendorff",59,1298,70,1481,21.1571428571429,6.84591679506934,18.5428571428571,NA,1
"John Hastings",38,809,50,1062,21.24,7.87639060568603,16.18,NA,1
"Mujeeb Ur Rahman",26,602,29,616,21.2413793103448,6.13953488372093,20.7586206896552,NA,1
"Usman Shinwari",7,168,8,172,21.5,6.14285714285714,21,NA,1
"James Faulkner",70,1339,80,1734,21.675,7.76997759522031,16.7375,NA,1
"Jhye Richardson",53,1155,69,1496,21.6811594202899,7.77142857142857,16.7391304347826,NA,1
"Adam Zampa",74,1615,88,1938,22.0227272727273,7.2,18.3522727272727,NA,1
"Ben Edmondson",10,231,15,332,22.1333333333333,8.62337662337662,15.4,NA,1
"Kieron Pollard",19,228,16,356,22.25,9.36842105263158,14.25,NA,1
"Alister McDermott",18,369,23,513,22.304347826087,8.34146341463414,16.0434782608696,NA,1
"Nathan Coulter-Nile",56,1182,67,1495,22.3134328358209,7.58883248730965,17.6417910447761,NA,1
"Sandeep Lamichhane",29,634,34,764,22.4705882352941,7.23028391167192,18.6470588235294,NA,1
"Matthew Kelly",21,446,27,608,22.5185185185185,8.17937219730942,16.5185185185185,NA,1
"Mitchell Johnson",19,444,20,455,22.75,6.14864864864865,22.2,NA,1
"Peter Hatzoglou",12,282,17,389,22.8823529411765,8.27659574468085,16.5882352941176,NA,1
"Kane Richardson",78,1721,98,2245,22.9081632653061,7.82684485764091,17.5612244897959,NA,1
"Ben Dwarshuis",68,1456,85,1954,22.9882352941176,8.0521978021978,17.1294117647059,NA,1
"Simon Milenko",12,123,9,207,23,10.0975609756098,13.6666666666667,NA,1
"Shaun Tait",34,740,46,1068,23.2173913043478,8.65945945945946,16.0869565217391,NA,1
"Cameron Gannon",21,420,27,628,23.2592592592593,8.97142857142857,15.5555555555556,NA,1
"Jofra Archer",27,615,34,792,23.2941176470588,7.72682926829268,18.0882352941176,NA,1
"Ashton Turner",25,207,11,257,23.3636363636364,7.44927536231884,18.8181818181818,NA,1
"Andre Russell",19,405,23,538,23.3913043478261,7.97037037037037,17.6086956521739,NA,1
"James Pattinson",25,535,32,751,23.46875,8.42242990654206,16.71875,NA,1
"Riley Meredith",34,756,43,1016,23.6279069767442,8.06349206349206,17.5813953488372,NA,1
"Liam Hatcher",9,208,13,308,23.6923076923077,8.88461538461539,16,NA,1
"Stuart MacGill",7,150,7,166,23.7142857142857,6.64,21.4285714285714,NA,1
"James Muirhead",9,144,8,190,23.75,7.91666666666667,18,NA,1
"Dirk Nannes",26,571,29,689,23.7586206896552,7.2399299474606,19.6896551724138,NA,1
"Wes Agar",32,664,41,976,23.8048780487805,8.81927710843373,16.1951219512195,NA,1
"Samuel Badree",13,312,14,334,23.8571428571429,6.42307692307692,22.2857142857143,NA,1
"Darren Pattinson",9,168,9,215,23.8888888888889,7.67857142857143,18.6666666666667,NA,1
"Shoaib Malik",11,210,11,264,24,7.54285714285714,19.0909090909091,NA,1
"Brad Hogg",59,1326,61,1466,24.0327868852459,6.63348416289593,21.7377049180328,NA,1
"Ben Hilfenhaus",34,723,40,963,24.075,7.99170124481328,18.075,NA,1
"Ben Laughlin",95,1999,111,2693,24.2612612612613,8.08304152076038,18.009009009009,NA,1
"David Willey",26,510,26,631,24.2692307692308,7.42352941176471,19.6153846153846,NA,1
"Clint McKay",40,825,46,1127,24.5,8.19636363636364,17.9347826086957,NA,1
"William Sheridan",11,192,11,270,24.5454545454545,8.4375,17.4545454545455,NA,1
"Scott Boland",55,1213,68,1681,24.7205882352941,8.31492168178071,17.8382352941176,NA,1
"Travis Head",30,330,18,445,24.7222222222222,8.09090909090909,18.3333333333333,NA,1
"Mark Steketee",53,1102,66,1635,24.7727272727273,8.90199637023593,16.6969696969697,NA,1
"Luke Feldman",14,290,15,372,24.8,7.69655172413793,19.3333333333333,NA,1
"Chris Jordan",25,489,29,725,25,8.89570552147239,16.8620689655172,NA,1
"Jonathan Cook",24,474,24,600,25,7.59493670886076,19.75,NA,1
"Jack Prestwidge",17,262,14,351,25.0714285714286,8.0381679389313,18.7142857142857,NA,1
"Brendan Doggett",28,526,29,728,25.1034482758621,8.3041825095057,18.1379310344828,NA,1
"Cameron Boyce",75,1576,79,2011,25.4556962025316,7.65609137055838,19.9493670886076,NA,1
"Steve O'Keefe",69,1433,63,1619,25.6984126984127,6.77878576413119,22.7460317460317,NA,1
"Clint Hinchliffe",17,204,11,286,26,8.41176470588235,18.5454545454545,NA,1
"Qais Ahmad",17,372,19,496,26.1052631578947,8,19.5789473684211,NA,1
"Dwayne Bravo",45,959,49,1292,26.3673469387755,8.08342022940563,19.5714285714286,NA,1
"Mitchell Swepson",47,1010,48,1266,26.375,7.52079207920792,21.0416666666667,NA,1
"Arjun Nair",29,456,22,583,26.5,7.67105263157895,20.7272727272727,NA,1
"Nathan Ellis",29,627,32,850,26.5625,8.13397129186603,19.59375,NA,1
"Imad Wasim",10,223,10,266,26.6,7.15695067264574,22.3,NA,1
"Michael Neser",67,1328,69,1837,26.6231884057971,8.29969879518072,19.2463768115942,NA,1
"Josh Lalor",55,1138,59,1571,26.6271186440678,8.2829525483304,19.2881355932203,NA,1
"Nathan Rimmington",43,822,41,1102,26.8780487804878,8.04379562043796,20.0487804878049,NA,1
"Daniel Christian",93,1606,82,2238,27.2926829268293,8.36114570361146,19.5853658536585,NA,1
"Alfonso Thomas",23,484,21,574,27.3333333333333,7.11570247933884,23.047619047619,NA,1
"Xavier Bartlett",15,246,12,328,27.3333333333333,8,20.5,NA,1
"Fawad Ahmed",79,1737,75,2051,27.3466666666667,7.0846286701209,23.16,NA,1
"Mohammad Nabi",33,545,25,684,27.36,7.5302752293578,21.8,NA,1
"Aaron O'Brien",24,510,22,604,27.4545454545455,7.10588235294118,23.1818181818182,NA,1
"Sunil Narine",13,312,14,386,27.5714285714286,7.42307692307692,22.2857142857143,NA,1
"Zahir Khan",16,348,14,392,28,6.75862068965517,24.8571428571429,NA,1
"Benjamin Manenti",19,360,15,423,28.2,7.05,24,NA,1
"Brett Lee",36,842,35,993,28.3714285714286,7.07600950118765,24.0571428571429,NA,1
"Shane Watson",23,402,19,545,28.6842105263158,8.13432835820896,21.1578947368421,NA,1
"Dimitri Mascarenhas",6,138,7,201,28.7142857142857,8.73913043478261,19.7142857142857,NA,1
"Jackson Bird",65,1341,57,1664,29.1929824561403,7.44519015659955,23.5263157894737,NA,1
"Chris Green",61,1092,46,1347,29.2826086956522,7.4010989010989,23.7391304347826,NA,1
"Jason Krejza",11,228,11,324,29.4545454545455,8.52631578947368,20.7272727272727,NA,1
"Harry Gurney",13,288,13,385,29.6153846153846,8.02083333333333,22.1538461538462,NA,1
"Jake Ball",7,144,9,267,29.6666666666667,11.125,16,NA,1
"James Hopes",30,601,24,713,29.7083333333333,7.11813643926789,25.0416666666667,NA,1
"Billy Stanlake",51,1045,47,1405,29.8936170212766,8.06698564593301,22.2340425531915,NA,1
"Xavier Doherty",33,702,30,897,29.9,7.66666666666667,23.4,NA,1
"Pat Cummins",16,352,17,511,30.0588235294118,8.71022727272727,20.7058823529412,NA,1
"Gurinder Sandhu",50,957,43,1302,30.2790697674419,8.16300940438872,22.2558139534884,NA,1
"Stuart Broad",8,177,8,243,30.375,8.23728813559322,22.125,NA,1
"Jacques Kallis",14,264,10,305,30.5,6.93181818181818,26.4,NA,1
"Harry Conway",8,164,7,215,30.7142857142857,7.86585365853659,23.4285714285714,NA,1
"Liam Bowe",13,234,11,338,30.7272727272727,8.66666666666667,21.2727272727273,NA,1
"Danny Briggs",14,275,11,340,30.9090909090909,7.41818181818182,25,NA,1
"Shane Warne",14,282,11,341,31,7.25531914893617,25.6363636363636,NA,1
"Lloyd Pope",20,384,16,502,31.375,7.84375,24,NA,1
"Daniel Worrall",42,850,36,1136,31.5555555555556,8.01882352941177,23.6111111111111,NA,1
"Ben Cutting",88,1467,67,2123,31.6865671641791,8.68302658486708,21.8955223880597,NA,1
"Glenn Maxwell",64,833,33,1048,31.7575757575758,7.54861944777911,25.2424242424242,NA,1
"Tom Cooper",26,258,10,318,31.8,7.3953488372093,25.8,NA,1
"Luke Doran",14,216,8,256,32,7.11111111111111,27,NA,1
"Ashton Agar",45,858,33,1057,32.030303030303,7.39160839160839,26,NA,1
"D'Arcy Short",49,662,29,940,32.4137931034483,8.51963746223565,22.8275862068966,NA,1
"Michael Beer",56,1203,41,1345,32.8048780487805,6.70822942643392,29.3414634146341,NA,1
"Nathan McAndrew",27,448,21,689,32.8095238095238,9.22767857142857,21.3333333333333,NA,1
"Mitchell McClenaghan",10,236,11,361,32.8181818181818,9.17796610169492,21.4545454545455,NA,1
"Jack Wildermuth",49,943,39,1295,33.2051282051282,8.23966065747614,24.1794871794872,NA,1
"Chris Tremain",49,1015,41,1377,33.5853658536585,8.13990147783251,24.7560975609756,NA,1
"Usman Qadir",7,144,6,203,33.8333333333333,8.45833333333333,24,NA,1
"Joe Mennie",15,252,12,411,34.25,9.78571428571428,21,NA,1
"Matthew Kuhnemann",9,144,5,173,34.6,7.20833333333333,28.8,NA,1
"Evan Gulbis",33,452,18,625,34.7222222222222,8.29646017699115,25.1111111111111,NA,1
"Richard Gleeson",8,146,7,244,34.8571428571429,10.027397260274,20.8571428571429,NA,1
"Chris Gayle",15,174,6,214,35.6666666666667,7.37931034482759,29,NA,1
"Samit Patel",8,174,6,214,35.6666666666667,7.37931034482759,29,NA,1
"Sam Rainbird",19,343,14,501,35.7857142857143,8.76384839650146,24.5,NA,1
"Yasir Shah",7,168,5,180,36,6.42857142857143,33.6,NA,1
"Doug Bollinger",44,910,35,1267,36.2,8.35384615384615,26,NA,1
"Aaron Hardie",18,288,12,435,36.25,9.0625,24,NA,1
"Johan Botha",68,1315,42,1572,37.4285714285714,7.17262357414449,31.3095238095238,NA,1
"Scott Coyte",13,259,8,303,37.875,7.01930501930502,32.375,NA,1
"Matt Renshaw",16,174,6,232,38.6666666666667,8,29,NA,1
"Will Sutherland",13,201,8,310,38.75,9.25373134328358,25.125,NA,1
"Kemar Roach",8,169,5,194,38.8,6.88757396449704,33.8,NA,1
"Morne Morkel",7,132,5,194,38.8,8.81818181818182,26.4,NA,1
"Liam O'Connor",23,456,15,586,39.0666666666667,7.71052631578947,30.4,NA,1
"Lewis Gregory",11,162,7,275,39.2857142857143,10.1851851851852,23.1428571428571,NA,1
"Moises Henriques",37,518,18,709,39.3888888888889,8.21235521235521,28.7777777777778,NA,1
"Ryan Duffield",6,126,5,197,39.4,9.38095238095238,25.2,NA,1
"Aaron Finch",15,136,5,198,39.6,8.73529411764706,27.2,NA,1
"Cameron Valente",12,210,8,318,39.75,9.08571428571429,26.25,NA,1
"Andrew Fekete",15,239,10,405,40.5,10.1673640167364,23.9,NA,1
"Luke Wright",15,164,6,243,40.5,8.89024390243902,27.3333333333333,NA,1
"Mitchell Marsh",41,543,20,815,40.75,9.00552486187845,27.15,NA,1
"Thomas Rogers",12,248,9,373,41.4444444444444,9.0241935483871,27.5555555555556,NA,1
"Jon Holland",15,264,9,375,41.6666666666667,8.52272727272727,29.3333333333333,NA,1
"Daniel Vettori",15,348,10,424,42.4,7.31034482758621,34.8,NA,1
"Michael Hogan",8,168,5,226,45.2,8.07142857142857,33.6,NA,1
"Joel Paris",17,343,11,511,46.4545454545455,8.93877551020408,31.1818181818182,NA,1
"Clive Rose",56,947,28,1304,46.5714285714286,8.26187961985216,33.8214285714286,NA,1
"Nathan Hauritz",26,405,12,583,48.5833333333333,8.63703703703704,33.75,NA,1
"Tymal Mills",12,288,9,439,48.7777777777778,9.14583333333333,32,NA,1
