"Bowling","Innings","Balls","Wickets","Runs","Average","Economy","StrikeRate","Pareto"
"Julie Hunter",25,552,29,475,16.3793103448276,5.16304347826087,19.0344827586207,"Julie Hunter"
"Nida Dar",10,192,13,220,16.9230769230769,6.875,14.7692307692308,"Nida Dar"
"Hannah Darlington",25,552,35,601,17.1714285714286,6.53260869565217,15.7714285714286,"Hannah Darlington"
"Sarah Aley",78,1446,89,1588,17.8426966292135,6.58921161825726,16.247191011236,NA
"Marizanne Kapp",81,1821,90,1613,17.9222222222222,5.31466227347611,20.2333333333333,NA
"Rosemary Mair",6,132,8,147,18.375,6.68181818181818,16.5,NA
"Morna Nielsen",24,458,24,443,18.4583333333333,5.80349344978166,19.0833333333333,NA
"Molly Strano",85,1791,104,1949,18.7403846153846,6.52931323283082,17.2211538461538,"Molly Strano"
"Amy Satterthwaite",44,758,44,827,18.7954545454545,6.54617414248021,17.2272727272727,NA
"Harmanpreet Kaur",14,180,12,226,18.8333333333333,7.53333333333333,15,NA
"Sarah Glenn",14,308,17,321,18.8823529411765,6.25324675324675,18.1176470588235,"Sarah Glenn"
"Katherine Brunt",55,1257,57,1129,19.8070175438597,5.3890214797136,22.0526315789474,NA
"Nicky Shaw",15,342,16,320,20,5.6140350877193,21.375,NA
"Stafanie Taylor",55,906,50,1006,20.12,6.66225165562914,18.12,NA
"Amelia Kerr",30,646,31,625,20.1612903225806,5.80495356037152,20.8387096774194,NA
"Rene Farrell",66,1517,79,1594,20.1772151898734,6.30454845088991,19.2025316455696,NA
"Grace Harris",67,1053,57,1160,20.3508771929825,6.60968660968661,18.4736842105263,NA
"Sammy-Jo Johnson",74,1408,75,1533,20.44,6.53267045454546,18.7733333333333,NA
"Maisy Gibson",50,918,50,1031,20.62,6.73856209150327,18.36,NA
"Madeline Penna",12,193,13,269,20.6923076923077,8.36269430051814,14.8461538461538,NA
"Lisa Sthalekar",22,353,19,394,20.7368421052632,6.69688385269122,18.5789473684211,NA
"Sasha Moloney",21,251,15,312,20.8,7.45816733067729,16.7333333333333,NA
"Hayley Jensen",34,605,32,667,20.84375,6.61487603305785,18.90625,NA
"Kim Garth",35,654,33,688,20.8484848484848,6.31192660550459,19.8181818181818,NA
"Sophie Day",12,208,11,231,21,6.66346153846154,18.9090909090909,NA
"Sarah Coyte",73,1475,77,1622,21.0649350649351,6.59796610169492,19.1558441558442,NA
"Jess Jonassen",89,1892,92,1953,21.2282608695652,6.19344608879493,20.5652173913043,NA
"Dane van Niekerk",75,1456,74,1580,21.3513513513514,6.51098901098901,19.6756756756757,NA
"Kris Britt",10,136,7,151,21.5714285714286,6.66176470588235,19.4285714285714,NA
"Samantha Bates",71,1515,71,1553,21.8732394366197,6.15049504950495,21.3380281690141,NA
"Heather Graham",83,1600,84,1854,22.0714285714286,6.9525,19.047619047619,NA
"Erin Burns",50,731,38,839,22.0789473684211,6.88645690834473,19.2368421052632,NA
"Darcie Brown",12,240,10,221,22.1,5.525,24,NA
"Belinda Vakarewa",59,1060,49,1085,22.1428571428571,6.14150943396226,21.6326530612245,NA
"Danni Wyatt",31,522,26,581,22.3461538461538,6.67816091954023,20.0769230769231,NA
"Delissa Kimmince",84,1589,83,1868,22.5060240963855,7.05349276274386,19.144578313253,NA
"Amanda-Jade Wellington",84,1598,80,1804,22.55,6.77346683354193,19.975,NA
"Shabnim Ismail",29,654,27,612,22.6666666666667,5.61467889908257,24.2222222222222,NA
"Sophie Devine",72,1258,66,1498,22.6969696969697,7.14467408585056,19.0606060606061,NA
"Hayley Matthews",41,823,40,913,22.825,6.65613608748481,20.575,NA
"Samantha Betts",24,365,20,461,23.05,7.57808219178082,18.25,NA
"Nicola Carey",83,1729,86,1989,23.1279069767442,6.90225563909774,20.1046511627907,NA
"Lauren Cheatle",41,738,34,787,23.1470588235294,6.39837398373984,21.7058823529412,NA
"Jemma Barsby",75,1174,58,1349,23.2586206896552,6.89437819420784,20.2413793103448,NA
"Nat Sciver",56,1136,55,1298,23.6,6.8556338028169,20.6545454545455,NA
"Meg Phillips",17,269,15,357,23.8,7.96282527881041,17.9333333333333,NA
"Holly Ferling",59,906,43,1028,23.906976744186,6.80794701986755,21.0697674418605,NA
"Katie-Jane Hartshorn",19,366,16,383,23.9375,6.27868852459016,22.875,NA
"Kristen Beams",44,903,37,891,24.0810810810811,5.9202657807309,24.4054054054054,NA
"Gemma Triscari",33,641,29,700,24.1379310344828,6.55226209048362,22.1034482758621,NA
"Megan Schutt",85,1883,74,1798,24.2972972972973,5.72915560276155,25.4459459459459,NA
"Danielle Hazell",19,381,18,440,24.4444444444444,6.92913385826772,21.1666666666667,NA
"Sophie Molineux",70,1260,57,1410,24.7368421052632,6.71428571428571,22.1052631578947,NA
"Heather Knight",61,1057,49,1213,24.7551020408163,6.88552507095553,21.5714285714286,NA
"Lea Tahuhu",61,1316,53,1322,24.9433962264151,6.0273556231003,24.8301886792453,NA
"Alana King",63,1153,54,1368,25.3333333333333,7.11882046834345,21.3518518518519,NA
"Stella Campbell",23,300,15,383,25.5333333333333,7.66,20,NA
"Lauren Smith",73,1061,48,1237,25.7708333333333,6.99528746465599,22.1041666666667,NA
"Tahlia McGrath",71,1225,55,1421,25.8363636363636,6.96,22.2727272727273,NA
"Piepa Cleary",48,810,35,905,25.8571428571429,6.7037037037037,23.1428571428571,NA
"Briana Binch",13,192,9,236,26.2222222222222,7.375,21.3333333333333,NA
"Veronica Pyke",54,976,41,1079,26.3170731707317,6.63319672131147,23.8048780487805,NA
"Emma King",53,1010,41,1081,26.3658536585366,6.42178217821782,24.6341463414634,NA
"Maitlan Brown",55,1028,44,1173,26.6590909090909,6.84630350194552,23.3636363636364,NA
"Carly Leeson",22,347,16,428,26.75,7.40057636887608,21.6875,NA
"Taneale Peschel",42,754,32,861,26.90625,6.85145888594164,23.5625,NA
"Anya Shrubsole",12,277,9,243,27,5.26353790613718,30.7777777777778,NA
"Georgia Prestwidge",29,410,18,493,27.3888888888889,7.21463414634146,22.7777777777778,NA
"Nicole Bolton",58,1009,41,1145,27.9268292682927,6.80872150644202,24.609756097561,NA
"Suzie Bates",50,863,35,983,28.0857142857143,6.8342989571263,24.6571428571429,NA
"Hayley Silver-holmes",24,264,13,372,28.6153846153846,8.45454545454546,20.3076923076923,NA
"Amy Smith",13,186,8,229,28.625,7.38709677419355,23.25,NA
"Erin Osborne",72,1508,57,1684,29.5438596491228,6.70026525198939,26.4561403508772,NA
"Nicola Hancock",55,976,40,1183,29.575,7.27254098360656,24.4,NA
"Brooke Hepburn",64,1133,44,1312,29.8181818181818,6.94792586054722,25.75,NA
"Deandra Dottin",29,474,17,513,30.1764705882353,6.49367088607595,27.8823529411765,NA
"Haidee Birkett",40,663,24,746,31.0833333333333,6.75113122171946,27.625,NA
"Tess Flintoff",22,309,13,408,31.3846153846154,7.92233009708738,23.7692307692308,NA
"Tayla Vlaeminck",19,381,14,441,31.5,6.94488188976378,27.2142857142857,NA
"Georgia Wareham",48,827,31,979,31.5806451612903,7.10278113663845,26.6774193548387,NA
"Ashleigh Gardner",64,980,35,1173,33.5142857142857,7.18163265306123,28,NA
"Alex Price",40,572,20,689,34.45,7.22727272727273,28.6,NA
"Makinley Blows",17,211,8,277,34.625,7.87677725118483,26.375,NA
"Courtney Hill",14,190,6,209,34.8333333333333,6.6,31.6666666666667,NA
"Annabel Sutherland",42,745,24,879,36.625,7.07919463087248,31.0416666666667,NA
"Ellyse Perry",78,1302,40,1476,36.9,6.80184331797235,32.55,NA
"Courtney Grace Sippel",8,126,4,158,39.5,7.52380952380952,31.5,NA
"Emma Kearney",36,726,19,751,39.5263157894737,6.20661157024793,38.2105263157895,NA
"Shelley Nitschke",23,468,12,486,40.5,6.23076923076923,39,NA
"Kara Sutherland",15,126,4,172,43,8.19047619047619,31.5,NA
"Kate Cross",28,536,15,653,43.5333333333333,7.30970149253731,35.7333333333333,NA
"Alex Hartley",11,228,7,312,44.5714285714286,8.21052631578947,32.5714285714286,NA
"Nicole Goodwin",11,192,5,225,45,7.03125,38.4,NA
"Lisa Griffith",29,421,13,589,45.3076923076923,8.39429928741093,32.3846153846154,NA
"Erin Fazackerley",14,132,4,192,48,8.72727272727273,33,NA
