,Athlete,R30,R10m,n,.level,International
1,# Athlete: Hale,241.58,104.0696667,3,1,Y
2,# Athlete: Power,243.53,83.2225,2,1,
3,# Athlete: Brown,225.6366667,102.2521667,6,2,Y
4,# Athlete: Economos,232.7266667,102.0466667,3,2,
5,# Athlete: Pelite,232.9,92.423,3,2,Y
6,# Athlete: Robinson,220.7666667,104.027,3,2,Y
7,# Athlete: Stowers,238.12,85.2255,2,2,
8,# Athlete: Upton,222.7666667,103.921,3,2,Y
9,# Athlete: Boyle,206.3933333,100.251,3,3,Y
10,# Athlete: Dibb,216.8866667,98.72033333,3,3,Y
11,# Athlete: Green,224.7666667,92.274,3,3,Y
12,# Athlete: Parker,224.4966667,98.52233333,6,3,
13,# Athlete: Elliston,202.17,103.224,2,3,
14,# Athlete: Bremner,202.4533333,100.1643333,3,4,Y
15,# Athlete: Brigginshaw,216.22,96.19366667,3,4,Y
16,# Athlete: Aiken,223.38,90.18533333,3,4,Y
17,# Athlete: McGregor,218.424,94.5626,5,4,Y
18,# Athlete: Davis,194.38,98.2055,2,5,Y
19,# Athlete: Maynard,191.3533333,99.88733333,3,5,Y
20,# Athlete: Kelleher,218.26,93.60833333,3,5,
21,# Athlete: Paul,198.19,96.9075,2,5,
22,# Athlete: Hamilton,194.21,93.956,2,6,
23,# Athlete: Bartlett,212.3133333,86.05233333,3,6,
24,# Athlete: Caslick,205.18,93.558,2,6,Y
25,# Athlete: Ciesiolka,209.26,88.215,2,6,
26,# Athlete: Fressard,208.18,91.319,2,6,
27,# Athlete: Taufa,188.18,99.285,2,6,Y
28,# Athlete: Mariu,209.32,85.04233333,3,7,
29,# Athlete: Holmes,205.08,91.12233333,3,7,
30,# Athlete: Mato,164.91,97.5795,2,7,
31,# Athlete: Temara,203.5,92.7195,4,7,Y
32,# Athlete: Hancock,207.1466667,82.30633333,3,8,Y
33,# Athlete: Gray,204.4733333,88.615,3,8,Y
34,# Athlete: Hartigan,200,89.029,2,8,
35,# Athlete: Johnston,202.31,88.833,2,8,Y
36,# Athlete: Meakes,199.1866667,92.68833333,3,8,
37,# Athlete: Chapman,203.8733333,83.04466667,3,9,
38,# Athlete: Sergis,199.94,83.225,2,9,Y
39,# Athlete: Smith,197.03,87.924,2,9,
40,# Athlete: Cherrington,192.8333333,92.03966667,3,9,
41,# Athlete: Dodd,196.3066667,91.95066667,3,9,Y
42,# Athlete: Studdon,191.66,92.4945,2,9,
43,# Athlete: Apps,196.68,85.2885,2,10,Y
44,# Athlete: Kelly,194.23,86.587,2,10,Y
45,# Athlete: Birch,182.38,91.5225,2,10,
46,# Athlete: Southwell,187.12,90.3225,2,10,Y
47,# Athlete: Page,193.77,88.7855,2,10,
48,# Athlete: Murphy,176.82,92.14933333,3,10,
49,# Athlete: Ward,192.4,90.19666667,3,10,
50,# Athlete: Levu,196.19,81.6735,2,11,
51,# Athlete: Bent,189.75,87.823,2,11,
52,# Athlete: Penitani,191.52,87.168,2,11,Y
53,# Athlete: Pauli,187.8933333,89.751,3,11,
54,# Athlete: Brander,190.3666667,83.45833333,3,12,Y
55,# Athlete: Foliaki,176.1266667,89.51733333,3,12,
56,# Athlete: Harden,169.36,89.70466667,3,12,Y
57,# Athlete: Gould,182.38,88.627,2,12,
58,# Athlete: Tamarua,183.8733333,82.75966667,3,13,
59,# Athlete: Clark,170.57,89.143,2,13,
60,# Athlete: Albert,181.6066667,88.118,3,13,
61,# Athlete: Hanisi,163.2333333,87.622,3,14,
62,# Athlete: Peck,176.01,86.7415,2,14,
63,# Athlete: Togatuki,173.8066667,87.58666667,3,14,
64,# Athlete: Hall,166.29,85.2695,2,15,
65,# Athlete: Lenarduzzi,168.55,83.842,2,15,Y
66,# Athlete: Fasavalu-Fa'amausili,172.2466667,83.73066667,3,15,
